cluster,patient_count,Age_mean,Age_median,unique_medications_mean,unique_medications_median,ddi_pair_count_mean,ddi_pair_count_median,total_ddi_risk_score_mean,total_ddi_risk_score_median,ddi_density_mean,ddi_density_median,is_polypharmacy_sum,is_high_ddi_risk_sum,IsElderly_sum,percentage,polypharmacy_rate,high_risk_rate,elderly_rate
0,2,62.5,62.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8.0,0.0,0.0,50.0
1,8,72.75,73.5,8.125,8.0,12.0,9.0,14.25,11.5,0.4015873015873016,0.3904761904761905,8,8,7,32.0,100.0,100.0,87.5
2,15,51.93333333333333,49.0,3.4,3.0,1.1333333333333333,1.0,1.4666666666666666,1.0,0.2895238095238095,0.16666666666666666,4,4,3,60.0,26.7,26.7,20.0
